date,region,district,population,ME-Fea,ME-Ang,ME-Sad,GH-Death
2023-01-04,West Bengal,Durgapur,600,0.45,0.3,0.58,11.9
2023-01-04,West Bengal,Howrah,1100,0.4,0.34,0.57,13.5
2023-01-04,West Bengal,Kolkata,4500,0.45,0.29,0.55,12.5
2023-01-05,Delhi,Central Delhi,1800,0.52,0.35,0.72,15.5
2023-01-05,Delhi,East Delhi,1700,0.54,0.39,0.73,16.6
2023-01-05,Delhi,North Delhi,3600,0.52,0.38,0.7,15.9
2023-01-05,Delhi,South Delhi,2700,0.56,0.35,0.69,16.7
2023-01-05,Gujarat,Ahmedabad,5600,0.39,0.25,0.52,9.9
2023-01-05,Gujarat,Rajkot,1300,0.37,0.28,0.49,10.5
2023-01-05,Gujarat,Surat,4500,0.38,0.25,0.53,10.2
2023-01-05,Gujarat,Vadodara,1700,0.38,0.27,0.49,10.9
2023-01-05,Karnataka,Bangalore,8400,0.42,0.29,0.54,12.9
2023-01-05,Karnataka,Hubli,950,0.44,0.29,0.56,11.8
2023-01-05,Karnataka,Mangalore,500,0.42,0.3,0.53,11.8
2023-01-05,Karnataka,Mysore,900,0.41,0.31,0.55,11.7
2023-01-05,Maharashtra,Mumbai,12500,0.51,0.32,0.65,14.0
2023-01-05,Maharashtra,Nagpur,2400,0.52,0.32,0.63,15.2
2023-01-05,Maharashtra,Pune,3100,0.55,0.31,0.66,15.4
2023-01-05,Maharashtra,Thane,1850,0.52,0.33,0.65,15.5
2023-01-05,Rajasthan,Jaipur,3100,0.48,0.33,0.58,11.7
2023-01-05,Rajasthan,Jodhpur,1000,0.43,0.33,0.56,11.3
2023-01-05,Rajasthan,Kota,1000,0.44,0.33,0.54,12.1
2023-01-05,Rajasthan,Udaipur,450,0.42,0.34,0.56,11.1
2023-01-05,Tamil Nadu,Chennai,7100,0.41,0.29,0.54,11.0
2023-01-05,Tamil Nadu,Coimbatore,1600,0.42,0.31,0.5,10.8
2023-01-05,Tamil Nadu,Madurai,1500,0.42,0.26,0.53,12.4
2023-01-05,Tamil Nadu,Salem,900,0.41,0.27,0.55,11.0
2023-01-05,Uttar Pradesh,Agra,1600,0.49,0.35,0.58,14.8
2023-01-05,Uttar Pradesh,Kanpur,2700,0.47,0.35,0.61,13.7
2023-01-05,Uttar Pradesh,Lucknow,2800,0.46,0.37,0.58,12.7
2023-01-05,Uttar Pradesh,Varanasi,1200,0.42,0.37,0.58,14.5
2023-01-05,West Bengal,Asansol,550,0.44,0.31,0.59,12.8
2023-01-05,West Bengal,Durgapur,600,0.44,0.27,0.59,12.9
2023-01-05,West Bengal,Howrah,1100,0.45,0.28,0.6,12.7
2023-01-05,West Bengal,Kolkata,4500,0.45,0.32,0.57,13.0
2023-01-06,Delhi,Central Delhi,1800,0.5,0.37,0.7,18.4
2023-01-06,Delhi,East Delhi,1700,0.51,0.39,0.78,15.1
2023-01-06,Delhi,North Delhi,3600,0.55,0.35,0.73,16.0
2023-01-06,Delhi,South Delhi,2700,0.53,0.39,0.7,15.2
2023-01-06,Gujarat,Ahmedabad,5600,0.43,0.29,0.51,10.5
2023-01-06,Gujarat,Rajkot,1300,0.41,0.26,0.52,10.5
2023-01-06,Gujarat,Surat,4500,0.39,0.29,0.5,10.3
2023-01-06,Gujarat,Vadodara,1700,0.4,0.27,0.51,10.4
2023-01-06,Karnataka,Bangalore,8400,0.44,0.3,0.57,12.2
2023-01-06,Karnataka,Hubli,950,0.4,0.3,0.6,12.7
2023-01-06,Karnataka,Mangalore,500,0.43,0.27,0.61,12.5
2023-01-06,Karnataka,Mysore,900,0.41,0.24,0.57,13.0
2023-01-06,Maharashtra,Mumbai,12500,0.53,0.32,0.67,14.4
2023-01-06,Maharashtra,Nagpur,2400,0.51,0.35,0.63,15.0
2023-01-06,Maharashtra,Pune,3100,0.47,0.33,0.66,14.7
2023-01-06,Maharashtra,Thane,1850,0.49,0.3,0.66,14.9
2023-01-06,Rajasthan,Jaipur,3100,0.41,0.32,0.55,11.9
2023-01-06,Rajasthan,Jodhpur,1000,0.43,0.34,0.58,12.0
2023-01-06,Rajasthan,Kota,1000,0.45,0.33,0.61,12.4
2023-01-06,Rajasthan,Udaipur,450,0.43,0.36,0.61,12.0
2023-01-06,Tamil Nadu,Chennai,7100,0.4,0.26,0.54,11.1
2023-01-06,Tamil Nadu,Coimbatore,1600,0.43,0.27,0.55,11.8
2023-01-06,Tamil Nadu,Madurai,1500,0.39,0.27,0.51,11.3
2023-01-06,Tamil Nadu,Salem,900,0.42,0.24,0.53,11.4
2023-01-06,Uttar Pradesh,Agra,1600,0.45,0.35,0.63,14.7
2023-01-06,Uttar Pradesh,Kanpur,2700,0.47,0.38,0.61,14.1
2023-01-06,Uttar Pradesh,Lucknow,2800,0.48,0.36,0.61,13.2
2023-01-06,Uttar Pradesh,Varanasi,1200,0.44,0.38,0.63,14.0
2023-01-06,West Bengal,Asansol,550,0.45,0.31,0.55,13.7
2023-01-06,West Bengal,Durgapur,600,0.45,0.29,0.6,12.8
2023-01-06,West Bengal,Howrah,1100,0.48,0.32,0.58,13.1
2023-01-06,West Bengal,Kolkata,4500,0.43,0.33,0.6,14.1
2023-01-07,Delhi,Central Delhi,1800,0.55,0.34,0.69,16.1
2023-01-07,Delhi,East Delhi,1700,0.52,0.37,0.7,16.5
2023-01-07,Delhi,North Delhi,3600,0.53,0.36,0.7,16.1
2023-01-07,Delhi,South Delhi,2700,0.52,0.37,0.69,16.0
2023-01-07,Gujarat,Ahmedabad,5600,0.38,0.24,0.48,10.6
2023-01-07,Gujarat,Rajkot,1300,0.39,0.25,0.49,10.0
2023-01-07,Gujarat,Surat,4500,0.39,0.28,0.51,10.8
2023-01-07,Gujarat,Vadodara,1700,0.39,0.25,0.46,10.5
2023-01-07,Karnataka,Bangalore,8400,0.45,0.25,0.54,12.4
2023-01-07,Karnataka,Hubli,950,0.41,0.28,0.57,11.7
2023-01-07,Karnataka,Mangalore,500,0.44,0.26,0.57,12.1
2023-01-07,Karnataka,Mysore,900,0.39,0.26,0.53,12.2
2023-01-07,Maharashtra,Mumbai,12500,0.49,0.3,0.62,15.2
2023-01-07,Maharashtra,Nagpur,2400,0.48,0.31,0.63,15.3
2023-01-07,Maharashtra,Pune,3100,0.48,0.3,0.64,14.6
2023-01-07,Maharashtra,Thane,1850,0.54,0.34,0.62,14.7
2023-01-07,Rajasthan,Jaipur,3100,0.42,0.31,0.54,11.4
2023-01-07,Rajasthan,Jodhpur,1000,0.43,0.37,0.57,11.9
2023-01-07,Rajasthan,Kota,1000,0.43,0.31,0.58,11.7
2023-01-07,Rajasthan,Udaipur,450,0.42,0.35,0.54,12.3
2023-01-07,Tamil Nadu,Chennai,7100,0.4,0.3,0.54,12.3
2023-01-07,Tamil Nadu,Coimbatore,1600,0.38,0.27,0.52,11.7
2023-01-07,Tamil Nadu,Madurai,1500,0.41,0.28,0.54,11.0
2023-01-07,Tamil Nadu,Salem,900,0.4,0.27,0.53,11.2
2023-01-07,Uttar Pradesh,Agra,1600,0.47,0.35,0.62,13.8
2023-01-07,Uttar Pradesh,Kanpur,2700,0.49,0.33,0.63,14.4
2023-01-07,Uttar Pradesh,Lucknow,2800,0.45,0.35,0.64,14.2
2023-01-07,Uttar Pradesh,Varanasi,1200,0.49,0.38,0.62,14.3
2023-01-07,West Bengal,Asansol,550,0.43,0.34,0.6,13.7
2023-01-07,West Bengal,Durgapur,600,0.44,0.3,0.54,12.7
2023-01-07,West Bengal,Howrah,1100,0.46,0.33,0.59,13.2
2023-01-07,West Bengal,Kolkata,4500,0.46,0.3,0.59,13.2
2023-01-08,Delhi,Central Delhi,1800,0.54,0.38,0.67,16.0
2023-01-08,Delhi,East Delhi,1700,0.54,0.35,0.74,15.3
2023-01-08,Delhi,North Delhi,3600,0.58,0.4,0.68,16.9
2023-01-08,Delhi,South Delhi,2700,0.49,0.35,0.74,17.0
2023-01-08,Gujarat,Ahmedabad,5600,0.36,0.27,0.51,10.1
2023-01-08,Gujarat,Rajkot,1300,0.37,0.26,0.47,11.0
2023-01-08,Gujarat,Surat,4500,0.38,0.22,0.49,10.4
2023-01-08,Gujarat,Vadodara,1700,0.39,0.25,0.5,10.8
2023-01-08,Karnataka,Bangalore,8400,0.42,0.29,0.57,12.2
2023-01-08,Karnataka,Hubli,950,0.42,0.32,0.55,12.5
2023-01-08,Karnataka,Mangalore,500,0.41,0.29,0.57,12.4
2023-01-08,Karnataka,Mysore,900,0.43,0.33,0.55,12.5
2023-01-08,Maharashtra,Mumbai,12500,0.47,0.35,0.63,14.6
2023-01-08,Maharashtra,Nagpur,2400,0.48,0.31,0.66,14.9
2023-01-08,Maharashtra,Pune,3100,0.48,0.31,0.69,14.3
2023-01-08,Maharashtra,Thane,1850,0.45,0.33,0.64,16.1
2023-01-08,Rajasthan,Jaipur,3100,0.44,0.36,0.57,11.4
2023-01-08,Rajasthan,Jodhpur,1000,0.44,0.35,0.59,12.1
2023-01-08,Rajasthan,Kota,1000,0.42,0.32,0.59,11.6
2023-01-08,Rajasthan,Udaipur,450,0.4,0.31,0.59,12.3
2023-01-08,Tamil Nadu,Chennai,7100,0.43,0.29,0.53,11.1
2023-01-08,Tamil Nadu,Coimbatore,1600,0.42,0.28,0.55,11.3
2023-01-08,Tamil Nadu,Madurai,1500,0.38,0.29,0.52,11.2
2023-01-08,Tamil Nadu,Salem,900,0.41,0.26,0.55,11.3
2023-01-08,Uttar Pradesh,Agra,1600,0.45,0.35,0.66,14.8
2023-01-08,Uttar Pradesh,Kanpur,2700,0.47,0.33,0.61,15.0
2023-01-08,Uttar Pradesh,Lucknow,2800,0.51,0.35,0.61,14.7
2023-01-08,Uttar Pradesh,Varanasi,1200,0.47,0.35,0.61,13.6
2023-01-08,West Bengal,Asansol,550,0.42,0.33,0.64,13.2
2023-01-08,West Bengal,Durgapur,600,0.45,0.32,0.58,11.8
2023-01-08,West Bengal,Howrah,1100,0.46,0.32,0.6,13.6
2023-01-08,West Bengal,Kolkata,4500,0.44,0.29,0.59,12.2
2023-01-09,Delhi,Central Delhi,1800,0.52,0.4,0.71,16.5
2023-01-09,Delhi,East Delhi,1700,0.52,0.33,0.69,16.0
2023-01-09,Delhi,North Delhi,3600,0.51,0.4,0.67,16.1
2023-01-09,Delhi,South Delhi,2700,0.56,0.4,0.73,17.1
2023-01-09,Gujarat,Ahmedabad,5600,0.42,0.28,0.56,11.4
2023-01-09,Gujarat,Rajkot,1300,0.4,0.25,0.5,10.7
2023-01-09,Gujarat,Surat,4500,0.34,0.26,0.49,10.7
2023-01-09,Gujarat,Vadodara,1700,0.39,0.28,0.55,10.4
2023-01-09,Karnataka,Bangalore,8400,0.43,0.25,0.55,13.3
2023-01-09,Karnataka,Hubli,950,0.44,0.29,0.55,12.0
2023-01-09,Karnataka,Mangalore,500,0.4,0.27,0.54,12.9
2023-01-09,Karnataka,Mysore,900,0.41,0.3,0.57,12.0
2023-01-09,Maharashtra,Mumbai,12500,0.54,0.29,0.61,14.6
2023-01-09,Maharashtra,Nagpur,2400,0.46,0.29,0.66,15.8
2023-01-09,Maharashtra,Pune,3100,0.51,0.31,0.64,15.4
2023-01-09,Maharashtra,Thane,1850,0.52,0.3,0.62,15.5
2023-01-09,Rajasthan,Jaipur,3100,0.46,0.31,0.57,11.6
2023-01-09,Rajasthan,Jodhpur,1000,0.39,0.34,0.54,12.3
2023-01-09,Rajasthan,Kota,1000,0.43,0.32,0.57,12.3
2023-01-09,Rajasthan,Udaipur,450,0.42,0.34,0.55,12.0
2023-01-09,Tamil Nadu,Chennai,7100,0.39,0.26,0.57,11.5
2023-01-09,Tamil Nadu,Coimbatore,1600,0.41,0.27,0.53,11.4
2023-01-09,Tamil Nadu,Madurai,1500,0.38,0.28,0.49,12.4
2023-01-09,Tamil Nadu,Salem,900,0.41,0.28,0.53,10.7
2023-01-09,Uttar Pradesh,Agra,1600,0.43,0.34,0.6,15.2
2023-01-09,Uttar Pradesh,Kanpur,2700,0.5,0.33,0.62,13.9
2023-01-09,Uttar Pradesh,Lucknow,2800,0.51,0.34,0.61,14.1
2023-01-09,Uttar Pradesh,Varanasi,1200,0.47,0.39,0.63,14.8
2023-01-09,West Bengal,Asansol,550,0.45,0.29,0.6,13.0
2023-01-09,West Bengal,Durgapur,600,0.46,0.3,0.58,13.0
2023-01-09,West Bengal,Howrah,1100,0.43,0.31,0.59,13.0
2023-01-09,West Bengal,Kolkata,4500,0.45,0.3,0.6,12.5
2023-01-10,Delhi,Central Delhi,1800,0.54,0.38,0.66,17.7
2023-01-10,Delhi,East Delhi,1700,0.53,0.35,0.66,16.5
2023-01-10,Delhi,North Delhi,3600,0.53,0.39,0.71,17.5
2023-01-10,Delhi,South Delhi,2700,0.54,0.4,0.64,15.5
2023-01-10,Gujarat,Ahmedabad,5600,0.4,0.25,0.49,11.2
2023-01-10,Gujarat,Rajkot,1300,0.39,0.26,0.48,11.1
2023-01-10,Gujarat,Surat,4500,0.39,0.25,0.52,9.7
2023-01-10,Gujarat,Vadodara,1700,0.35,0.27,0.5,10.7
2023-01-10,Karnataka,Bangalore,8400,0.46,0.3,0.57,12.7
2023-01-10,Karnataka,Hubli,950,0.42,0.29,0.53,13.5
2023-01-10,Karnataka,Mangalore,500,0.41,0.32,0.6,13.2
2023-01-10,Karnataka,Mysore,900,0.41,0.27,0.57,12.1
2023-01-10,Maharashtra,Mumbai,12500,0.49,0.29,0.67,15.2
2023-01-10,Maharashtra,Nagpur,2400,0.49,0.31,0.65,14.8
2023-01-10,Maharashtra,Pune,3100,0.48,0.32,0.66,14.7
2023-01-10,Maharashtra,Thane,1850,0.5,0.34,0.65,15.4
2023-01-10,Rajasthan,Jaipur,3100,0.43,0.33,0.55,12.1
2023-01-10,Rajasthan,Jodhpur,1000,0.47,0.31,0.58,11.9
2023-01-10,Rajasthan,Kota,1000,0.44,0.3,0.55,11.5
2023-01-10,Rajasthan,Udaipur,450,0.41,0.33,0.58,12.0
2023-01-10,Tamil Nadu,Chennai,7100,0.41,0.26,0.55,11.5
2023-01-10,Tamil Nadu,Coimbatore,1600,0.41,0.25,0.54,10.7
2023-01-10,Tamil Nadu,Madurai,1500,0.43,0.3,0.52,11.1
2023-01-10,Tamil Nadu,Salem,900,0.42,0.28,0.51,10.8
2023-01-10,Uttar Pradesh,Agra,1600,0.45,0.37,0.61,14.1
2023-01-10,Uttar Pradesh,Kanpur,2700,0.48,0.34,0.62,13.9
2023-01-10,Uttar Pradesh,Lucknow,2800,0.48,0.34,0.6,14.4
2023-01-10,Uttar Pradesh,Varanasi,1200,0.47,0.36,0.64,12.5
2023-01-10,West Bengal,Asansol,550,0.47,0.31,0.64,13.4
2023-01-10,West Bengal,Durgapur,600,0.46,0.29,0.56,13.3
2023-01-10,West Bengal,Howrah,1100,0.44,0.33,0.62,12.8
2023-01-10,West Bengal,Kolkata,4500,0.48,0.31,0.59,14.0
2023-01-11,Delhi,Central Delhi,1800,0.56,0.38,0.71,15.6
2023-01-11,Delhi,East Delhi,1700,0.56,0.37,0.72,16.9
2023-01-11,Delhi,North Delhi,3600,0.54,0.4,0.74,16.8
2023-01-11,Delhi,South Delhi,2700,0.51,0.36,0.7,15.4
2023-01-11,Gujarat,Ahmedabad,5600,0.41,0.25,0.54,10.7
2023-01-11,Gujarat,Rajkot,1300,0.37,0.28,0.51,10.7
2023-01-11,Gujarat,Surat,4500,0.37,0.28,0.51,10.5
2023-01-11,Gujarat,Vadodara,1700,0.4,0.27,0.49,11.1
2023-01-11,Karnataka,Bangalore,8400,0.48,0.29,0.57,11.9
2023-01-11,Karnataka,Hubli,950,0.42,0.29,0.54,12.3
2023-01-11,Karnataka,Mangalore,500,0.44,0.28,0.56,12.3
2023-01-11,Karnataka,Mysore,900,0.44,0.31,0.55,12.1
2023-01-11,Maharashtra,Mumbai,12500,0.47,0.3,0.66,15.4
2023-01-11,Maharashtra,Nagpur,2400,0.51,0.3,0.66,15.4
2023-01-11,Maharashtra,Pune,3100,0.51,0.31,0.64,15.1
2023-01-11,Maharashtra,Thane,1850,0.5,0.35,0.65,15.0
2023-01-11,Rajasthan,Jaipur,3100,0.39,0.32,0.61,13.4
2023-01-11,Rajasthan,Jodhpur,1000,0.45,0.32,0.55,11.6
2023-01-11,Rajasthan,Kota,1000,0.43,0.32,0.55,11.9
2023-01-11,Rajasthan,Udaipur,450,0.45,0.32,0.59,11.5
2023-01-11,Tamil Nadu,Chennai,7100,0.41,0.28,0.52,11.3
2023-01-11,Tamil Nadu,Coimbatore,1600,0.42,0.28,0.54,11.9
2023-01-11,Tamil Nadu,Madurai,1500,0.43,0.29,0.5,10.9
2023-01-11,Tamil Nadu,Salem,900,0.41,0.24,0.53,10.6
2023-01-11,Uttar Pradesh,Agra,1600,0.49,0.37,0.62,14.6
2023-01-11,Uttar Pradesh,Kanpur,2700,0.48,0.35,0.63,14.1
2023-01-11,Uttar Pradesh,Lucknow,2800,0.44,0.38,0.66,13.8
2023-01-11,Uttar Pradesh,Varanasi,1200,0.44,0.33,0.6,15.0
2023-01-11,West Bengal,Asansol,550,0.43,0.33,0.6,13.2
2023-01-11,West Bengal,Durgapur,600,0.48,0.29,0.63,13.0
2023-01-11,West Bengal,Howrah,1100,0.44,0.3,0.61,13.6
2023-01-11,West Bengal,Kolkata,4500,0.46,0.32,0.58,12.7
2023-01-12,Delhi,Central Delhi,1800,0.52,0.44,0.72,16.6
2023-01-12,Delhi,East Delhi,1700,0.57,0.42,0.72,16.9
2023-01-12,Delhi,North Delhi,3600,0.57,0.37,0.72,15.6
2023-01-12,Delhi,South Delhi,2700,0.54,0.38,0.7,16.5
2023-01-12,Gujarat,Ahmedabad,5600,0.4,0.22,0.51,11.0
2023-01-12,Gujarat,Rajkot,1300,0.39,0.27,0.49,11.3
2023-01-12,Gujarat,Surat,4500,0.39,0.26,0.52,11.1
2023-01-12,Gujarat,Vadodara,1700,0.38,0.29,0.52,10.5
2023-01-12,Karnataka,Bangalore,8400,0.42,0.3,0.57,12.0
2023-01-12,Karnataka,Hubli,950,0.44,0.32,0.56,12.5
2023-01-12,Karnataka,Mangalore,500,0.44,0.3,0.6,11.8
